customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TC-000012,Male,0,No,No,29,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),74.66,2071.98,No
TC-000013,Male,0,No,No,64,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,No,Electronic check,81.31,5260.98,No
TC-000014,Male,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.41,1633.26,No
TC-000015,Female,0,Yes,No,48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,107.73,5194.62,No
TC-000016,Male,0,No,No,72,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),87.74,6358.23,No
TC-000017,Female,0,No,Yes,0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.61,77.61,Yes
TC-000018,Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),101.29,2088.46,No
TC-000019,Female,1,No,No,2,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,73.23,169.6,Yes
TC-000020,Male,0,Yes,Yes,39,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),62.82,2432.66,No
TC-000021,Female,1,No,No,57,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,106.16,6020.65,No
TC-000022,Male,0,No,Yes,14,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),116.12,1661.4,No
TC-000023,Female,0,Yes,No,34,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.73,1872.1,Yes
TC-000024,Female,1,No,Yes,54,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),107.9,5895.72,Yes
TC-000025,Female,0,No,No,0,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,71.41,71.41,Yes
TC-000026,Female,0,No,No,51,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,81.28,4162.75,No
TC-000027,Female,0,No,Yes,39,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.19,2666.48,Yes
TC-000028,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,85.9,758.9,No
TC-000029,Female,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,77.87,291.44,No
TC-000030,Female,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,35.48,35.48,No
TC-000031,Male,0,Yes,No,63,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),80.36,5028.0,No
TC-000032,Male,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),36.74,2183.63,No
TC-000033,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),120.0,4223.23,Yes
TC-000034,Female,0,Yes,Yes,4,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.19,276.74,Yes
TC-000035,Female,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.24,6164.77,No
TC-000036,Male,0,Yes,No,64,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,75.23,4907.02,No
TC-000037,Female,1,No,No,53,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,66.77,3519.76,No
TC-000038,Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.8,822.55,No
TC-000039,Male,1,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.59,3487.56,No
TC-000040,Male,0,Yes,No,28,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,57.57,1614.63,No
TC-000041,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,105.38,194.0,Yes
TC-000042,Male,0,No,Yes,34,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),110.79,3808.17,No
TC-000043,Female,0,No,No,44,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),86.33,3833.26,No
TC-000044,Female,0,Yes,Yes,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,60.04,158.28,No
TC-000045,Female,0,Yes,Yes,25,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.14,1852.76,No
TC-000046,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,41.11,1308.23,No
TC-000047,Female,1,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),93.03,5341.24,No
TC-000048,Male,0,No,No,71,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,58.85,4165.41,No
TC-000049,Female,0,Yes,No,57,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,64.62,3634.74,No
TC-000050,Female,0,Yes,No,45,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,73.3,3337.62,No
TC-000051,Male,0,No,No,6,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),85.29,528.98,Yes
TC-000052,Female,0,No,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),33.68,1643.76,No
TC-000053,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),89.07,3618.02,Yes
TC-000054,Female,1,Yes,No,48,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.56,4240.29,No
TC-000055,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.76,5014.63,No
TC-000056,Female,0,Yes,No,44,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.04,4436.52,Yes
TC-000057,Female,0,No,No,43,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Mailed check,108.48,4763.47,No
TC-000058,Male,0,Yes,No,41,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),93.54,3894.85,No
TC-000059,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,99.78,2829.88,No
TC-000060,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,97.81,2982.47,Yes
TC-000061,Male,0,Yes,No,31,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,89.25,2762.27,No
TC-000062,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,99.81,5712.31,No
TC-000063,Male,0,No,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,85.09,1840.62,No
TC-000064,Male,0,No,Yes,5,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,97.45,504.74,No
TC-000065,Male,0,No,No,31,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,72.46,2291.03,No
TC-000066,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),98.77,3534.08,Yes
TC-000067,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),39.42,2345.8,Yes
TC-000068,Male,1,No,Yes,39,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,67.3,2656.94,No
TC-000069,Female,1,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,34.46,1112.26,No
TC-000070,Female,0,No,No,59,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),114.67,6815.48,No
TC-000071,Female,0,No,No,56,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,66.86,3733.99,No
TC-000072,Female,0,Yes,No,36,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),78.27,2859.93,No
TC-000073,Male,0,No,No,3,Yes,No phone service,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),67.71,237.61,No
TC-000074,Female,1,No,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,38.63,1730.66,No
TC-000075,Male,0,Yes,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,44.52,1389.03,No
TC-000076,Female,1,No,Yes,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,110.76,690.47,No
TC-000077,Female,1,Yes,No,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,58.64,2884.84,Yes
TC-000078,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),32.02,1293.69,No
TC-000079,Male,0,No,No,27,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,73.03,1985.78,Yes
TC-000080,Female,0,Yes,No,62,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.17,2082.37,No
TC-000081,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,90.86,81.4,Yes
TC-000082,Female,0,No,No,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,120.0,2793.64,Yes
TC-000083,Male,1,Yes,Yes,11,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,81.91,878.02,No
TC-000084,Female,0,Yes,No,9,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.92,596.49,No
TC-000085,Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,71.91,2233.42,Yes
TC-000086,Male,1,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.66,39.66,No
TC-000087,Female,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,91.76,3759.22,No
TC-000088,Male,0,Yes,No,1,No,No phone service,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,50.63,86.11,No
TC-000089,Female,0,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),99.02,3517.5,No
TC-000090,Female,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),29.07,794.35,Yes
TC-000091,Female,0,Yes,No,9,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.46,624.41,No
TC-000092,Female,0,Yes,No,22,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.24,1514.39,No
TC-000093,Female,1,Yes,Yes,38,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),72.52,2806.22,No
TC-000094,Female,1,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.51,117.43,No
TC-000095,Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,66.45,3739.69,No
TC-000096,Female,0,Yes,No,4,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.42,203.74,No
TC-000097,Female,0,Yes,No,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,73.62,2594.15,No
TC-000098,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,90.06,345.82,Yes
TC-000099,Female,1,Yes,No,41,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,54.57,2253.63,No
TC-000100,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,90.62,276.42,No
TC-000101,Male,0,No,No,45,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),99.34,4421.53,No
TC-000102,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.19,429.66,No
TC-000103,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,93.71,905.84,No
TC-000104,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Mailed check,58.47,364.05,No
TC-000105,Female,0,No,No,14,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,62.39,896.08,No
TC-000106,Female,0,No,Yes,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,38.37,456.38,No
TC-000107,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.98,272.07,Yes
TC-000108,Female,0,No,No,24,No,No phone service,DSL,Yes,No,No,No,No,Yes,Two year,No,Mailed check,61.83,1522.43,No
TC-000109,Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,98.97,4397.51,No
TC-000110,Male,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,63.27,1256.73,No
TC-000111,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,38.74,1033.46,No
TC-000112,Male,0,No,No,62,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,51.74,3187.44,No
TC-000113,Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.06,183.23,Yes
TC-000114,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.07,106.07,No
TC-000115,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.73,1382.05,No
TC-000116,Female,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.57,21.05,No
TC-000117,Male,1,No,No,44,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),58.33,2521.21,Yes
TC-000118,Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),35.45,1687.91,No
TC-000119,Female,1,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.47,2309.93,No
TC-000120,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),94.27,1716.65,No
TC-000121,Female,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.63,0.0,No
TC-000122,Male,0,No,No,61,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),71.16,4287.37,No
TC-000123,Female,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.17,652.65,Yes
TC-000124,Male,0,No,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,184.26,No
TC-000125,Male,0,No,Yes,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,81.21,1538.99,Yes
TC-000126,Female,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.69,1946.13,No
TC-000127,Female,0,No,Yes,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.35,39.35,No
TC-000128,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),72.07,210.03,No
TC-000129,Female,1,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.3,1575.93,No
TC-000130,Female,0,No,Yes,33,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Mailed check,72.8,2471.7,No
TC-000131,Female,0,No,Yes,36,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.15,3979.8,Yes
TC-000132,Male,0,No,Yes,61,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.49,5754.27,No
TC-000133,Male,0,Yes,Yes,57,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.67,4158.96,Yes
TC-000134,Male,0,No,No,41,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.71,789.66,No
TC-000135,Male,0,Yes,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.29,250.02,No
TC-000136,Male,0,Yes,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),99.52,4304.24,Yes
TC-000137,Male,0,No,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,36.76,426.61,No
TC-000138,Male,0,Yes,No,59,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.73,3031.38,No
TC-000139,Male,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),76.53,138.46,Yes
TC-000140,Male,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.45,1825.41,No
TC-000141,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,120.0,5726.43,No
TC-000142,Male,0,No,Yes,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.3,1448.12,No
TC-000143,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,103.12,6077.72,No
TC-000144,Female,1,Yes,Yes,20,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.45,1603.3,No
TC-000145,Female,1,No,Yes,59,Yes,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),74.51,4457.56,No
TC-000146,Male,1,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,101.01,6352.4,No
TC-000147,Male,0,Yes,Yes,43,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.0,3152.37,No
TC-000148,Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),33.26,136.23,No
TC-000149,Male,0,No,No,65,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),60.45,3858.61,Yes
TC-000150,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,87.85,1138.17,No
TC-000151,Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,77.98,2163.65,No
TC-000152,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,95.19,912.73,Yes
TC-000153,Male,1,No,No,48,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,102.2,4943.54,No
TC-000154,Male,0,Yes,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,22.85,187.27,No
TC-000155,Male,1,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),94.31,768.52,Yes
TC-000156,Female,0,No,No,34,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),83.52,2821.62,No
TC-000157,Male,0,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.75,25.75,Yes
TC-000158,Female,0,No,No,51,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.78,4285.38,No
TC-000159,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.56,42.56,Yes
TC-000160,Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.53,506.17,No
TC-000161,Male,0,No,Yes,57,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),76.4,4390.26,No
TC-000162,Male,0,No,No,50,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),54.73,2835.98,No
TC-000163,Female,0,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),29.74,1438.03,No
TC-000164,Female,1,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.98,1035.45,No
TC-000165,Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,89.72,1027.07,No
TC-000166,Male,1,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),33.95,2015.77,No
TC-000167,Female,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),40.24,433.2,No
TC-000168,Male,0,No,No,22,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),68.66,1571.27,No
TC-000169,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.36,5697.82,No
TC-000170,Female,0,Yes,No,26,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Mailed check,91.89,2405.44,No
TC-000171,Female,0,Yes,Yes,56,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.36,4996.11,No
TC-000172,Male,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,120.0,1564.85,No
TC-000173,Male,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,77.18,1722.22,No
TC-000174,Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Mailed check,103.4,188.12,Yes
TC-000175,Female,0,No,No,35,No,No phone service,DSL,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),59.45,2128.4,No
TC-000176,Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.51,1410.67,No
TC-000177,Male,0,Yes,No,10,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),36.67,392.41,No
